,BusinessNum,agentName,applicantName,applicationDate,applicationNumber,classificationCode,registrationNumber,title
13645,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2011-10-13,4.12E+12,['41'],,트리니티 클럽 더 파지오 코스
13646,2448104572,['조철현'],['주식회사 신세계'],1999-09-21,4.02E+12,['14'],,MILLENNIUM ONLY SHINSEGAE 2000
13647,2448104572,['조철현'],['주식회사 신세계'],2000-04-06,4.12E+12,['39'],,DREAMEXPRESS
13648,2448104572,['조철현'],['주식회사 신세계'],2001-12-06,4.02E+12,['18'],4.01E+12,예쁘띠 e.petit NEW LifESTylE fOR yOUR Kids
13649,2448104572,['조철현'],['주식회사 신세계'],2002-03-27,4.02E+12,['03'],4.01E+12,E.MART
13650,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2007-08-24,4.02E+12,['33'],4.01E+12,BESTSELECT E MART
13651,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2007-10-19,4.02E+12,['32'],4.01E+12,자연주의 All Natural
13652,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2007-12-20,4.02E+12,['20'],4.01E+12,Plusmate E MART
13653,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2007-08-24,4.02E+12,['32'],4.01E+12,BESTSELECT E MART
13654,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2007-08-24,4.02E+12,['10'],4.01E+12,BESTSELECT E MART
13655,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2017-02-28,4.02E+12,['36'],4.01E+12,한제신세계면세점 SHINSEGAE DUTY FREE
13656,2448104572,['조철현'],['주식회사 신세계'],2000-06-27,4.12E+12,['39'],4.10E+12,이마트
13657,2448104572,['조철현'],['주식회사 신세계'],2000-12-22,4.12E+12,['38'],4.10E+12,이컴마트 e
13658,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2016-04-26,4.12E+12,['36'],4.10E+12,한제신세계면세점 SHINSEGAE DUTY FREE
13659,2448104572,['조철현'],['주식회사 신세계'],1989-11-18,4.12E+12,['40'],4.10E+12,신세계
13660,2448104572,['조철현'],['주식회사 신세계'],2008-01-04,5.62E+12,"['20', '24', '27']",4.00E+12,베스트 마인드 BEST MIND
13661,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2011-03-24,4.12E+12,['36'],4.10E+12,신세계 문화센터
13662,2448104572,['조철현'],['주식회사 신세계'],2006-04-05,5.12E+12,['36'],4.10E+12,E EVERYDAY LOW PRICE MART
13663,2448104572,,['주식회사 신세계'],1982-09-13,6.02E+12,['018'],4.00E+12,S
13664,2448104572,['박천배'],['주식회사 신세계'],1982-09-13,6.02E+12,['041'],4.00E+12,신세계 SHINSEGYE
13665,2448104572,['조철현'],['주식회사 신세계'],2008-07-10,5.62E+12,"['03', '21']",4.00E+12,E PLUS
13666,2448104572,['조철현'],['주식회사 신세계'],1997-11-10,5.02E+12,"['18', '25']",4.00E+12,베스트 마인드 BEST MIND
13667,2448104572,,['주식회사 신세계'],1984-06-12,5.12E+12,['103'],4.10E+12,신세계 SHINSEGYE
13668,2448104572,['조철현'],['주식회사 신세계'],2006-06-07,4.02E+12,['28'],4.01E+12,#902
13669,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2012-02-27,4.02E+12,['25'],4.01E+12,PEACOCK BEAUTY
13670,2448104572,['조철현'],['주식회사 신세계'],2008-02-12,5.02E+12,"['052', '09', '16']",4.00E+12,신세계 홈쇼핑
13671,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2008-06-04,4.02E+12,['03'],4.01E+12,E MART M.M CATS
13672,2448104572,['조철현'],['주식회사 신세계'],2007-11-14,4.02E+12,['14'],4.01E+12,이플러스 EPLUS
13673,2448104572,['조철현'],['주식회사 신세계'],1997-10-21,4.12E+12,"['35', '36', '39', '40', '42']",4.10E+12,OFFICE BOX
