BusinessNum,PublicationAgency,MergedText
1231400906,(주)씨엔에스,바이오시밀러 제조용 연속식 분리정제 장비 개발 대한민국 1415136574.0 바이오시밀러 제조용 연속식 분리정제 장비 개발 임지순
1231400906,(주)씨엔에스,Microflow Bioreactor를 이용한 Continuous Bioconversion System 개발 및 상용화 대한민국 1425067212.0 Microflow Bioreactor를 이용한 Continuous Bioconversion System 개발 및 상용화 임지순
1231400906,(주)씨엔에스,SMB 공정을 이용한 의약 원료로서의 고순도 L-ribose 생산 대한민국 1415113879.0 SMB 공정을 이용한 의약 원료로서의 고순도 L-ribose 생산 임지순
2018602817,(주)프리것버드,SNG기반 풀3D 전략게임 에이지 오브 로드 대한민국 1425089278.0 SNG기반 풀3D 전략게임 에이지 오브 로드 김정희
1198101533,(주)이트라이브,중형 가족뮤지컬 <라바 홀로그램 뮤지컬>의 대형 한류상품화를 위한 인터랙티브 디지털 플랫폼 기술개발 대한민국 1375026152.0 중형 가족뮤지컬 라바뮤지컬의 대형 한류상품화를 위한 인터랙티브 홀로그램 디지털 플랫폼 기술개발 홍호철
8468601196,더파인,"UHD(초고화질)영상장비와 HD(고화질)영상장비와의 원활한 호환을 위한, 12G SDI & HDMI 2.0 신호변환장치(컨버터)제품개발 대한민국 1425115806.0 UHD(초고화질)영상장비와 HD(고화질)영상장비와의 원활한 호환을 위한, 12G SDI & HDMI 2.0 신호변환장치(컨버터)제품개발 이상연"
1078600909,(주)백선통신,WiBro 시스템용 Cooperative Relay 장치 개발 대한민국 1415086857.0 WiBro 시스템 용 Cooperative Relay 장치 개발 황선호
1078600909,(주)백선통신,지속가능한 개인생활습관 개선을 통한 AI 기반 건강증진서비스 개발 대한민국 1425124261.0 지속가능한 개인생활습관 개선을 통한 AI 기반 건강증진서비스 개발 이선훈
1078600909,(주)백선통신,실시간 모니터링 및 안전 관리를 위한 스마트 가스 AMI SW 플랫폼 개발 대한민국 1425119415.0 실시간 모니터링 및 안전 관리를 위한 스마트 가스 AMI SW 플랫폼 개발 황선호
1078600909,(주)백선통신,휴대인터넷용 트래픽 시뮬레이션 및 무선프로토콜 시험장치 개발 기술 대한민국 1440002085.0 휴대인터넷용 트래픽 시뮬레이션 및 무선프로토콜 시험장치 개발 황선호
1058601100,(주)네오메카,그룹화된 상담단말기와 콜데이터를 이용하여 선택적 발신모드로 구동되는 아웃바운드 시스템(Insight PDS)개발 대한민국 1425109046.0 그룹화된 상담단말기와 콜데이터를 이용하여 선택적 발신모드로 구동되는 아웃바웃드 시스템(Insight PDS) 개발 남궁도
1058601100,(주)네오메카,그룹화된 상담단말기와 콜데이터를 이용하여 선택적 발신모드로 구동되는 아웃바운드 시스템(Insight PDS)개발 대한민국 1425100021.0 그룹화된 상담단말기와 콜데이터를 이용하여 선택적 발신모드로 구동되는 아웃바웃드 시스템(Insight PDS) 개발 남궁도
3018606021,(주)아이지에스,국내산 상황버섯(Phellinus baumii)으로부터 피부면역활성 에센스 오일 개발 대한민국 1385006790.0 국내산 상황버섯(Phellinus baumii)으로부터 피부면역활성 에센스 오일 개발 강세찬
1208601438,아름누리메디컴,100세 국민건강을 위한 개인 맞춤형 주치의 개념의 사후관리 및 의사의 전문 판정을 지원하는 건강검진시스템 개발 대한민국 1425104952.0 100세 국민건강을 위한 개인 맞춤형 주치의 개념의 사후관리 및 의사의 전문 판정을 지원하는 건강검진시스템 개발 김영화
1018504814,용진기업,자동권취 및 포장 시스템 개발 대한민국 1425118139.0 자동 권취 및 포장 시스템 개발 최상원
5038501423,한길씨앤씨,Telepresence 팀플레이가 가능한 Shared Virtual Stadium 시스템 기술 개발 대한민국 1711065250.0 Telepresence 팀플레이가 가능한 Shared Virtual Stadium 시스템 기술 개발 박진홍
3068103046,에이케이켐텍(주),환경친화적 천연원료 유래 인체적합형 생체계면활성제 소재 및 제품 개발 대한민국 1415147562.0 환경친화적 천연원료 유래 인체적합형 생체계면활성제 소재 및 제품 개발 김병조
3068103046,에이케이켐텍(주),생분해성이 우수한 환경 친화적 생체계면활성제의 개발 대한민국 1415108835.0 생분해성이 우수한 환경 친화적 생체계면활성제의 개발 김병조
2148700573,더부엔지니어링,'설계 정량분석 시스템' 기술개발 대한민국 1425105295.0 '설계 정량분석 시스템' 기술개발 김영승
