,BusinessNum,KorNumber,docdbFamilyID,applicationCountryCode,applicationDate,applicationKindCode,BizNo,publicationCountryCode,publicationDate,publicationKindCode,publicationNumber
32138,6938100979,1.02E+12,,,,,,,,,
32139,6938100979,1.02E+12,,,,,,,,,
32140,6938100979,1.02E+12,,,,,,,,,
32141,6938100979,2.02E+12,,,,,,,,,
32142,6938100979,1.02E+12,,,,,,,,,
32143,6938100979,3.02E+12,,,,,,,,,
32144,6938100979,1.02E+12,,,,,,,,,
32145,2208706643,,,,,,,,,,
32146,2068606275,,,,,,,,,,
32147,6178701677,1.02E+12,,,,,,,,,
32148,6178701677,1.02E+12,53680114,US,2018-10-02,A,2.02E+11,US,2019-01-31,A1,2019036669
32149,6178701677,1.02E+12,56109596,CN,2015-10-14,A,2.02E+11,CN,2021-07-27,B,107439050
32150,6178701677,1.02E+12,56109596,ES,2015-10-14,T,19203128,ES,2021-10-26,T3,2869932
32151,6178701677,1.02E+12,56109596,CN,2015-10-14,A,2.02E+11,CN,2021-07-27,B,107439050
32152,6178701677,1.02E+12,56109596,EP,2015-10-14,A,20202795,EP,2021-11-17,B1,3793321
32153,6178701677,1.02E+12,53030340,CN,2014-09-25,A,2.01E+11,CN,2016-06-01,A,105637967
32154,6178701677,1.02E+12,56109596,CN,2015-10-14,A,2.02E+11,CN,2021-10-29,A,113573286
32155,6178701677,1.02E+12,53680114,US,2017-12-12,A,2.02E+11,US,2018-11-06,B2,10122514
32156,6178701677,1.02E+12,56109596,EP,2015-10-14,A,15857068,EP,2017-09-13,A1,3216139
32157,6178701677,1.02E+12,56109596,KR,2015-10-14,W,2015010860,WO,2016-05-12,A1,2016072631
32158,6178701677,1.02E+12,56109596,EP,2015-10-14,A,19203128,EP,2020-02-26,A1,3614785
32159,6178701677,1.02E+12,53030340,CN,2014-09-25,A,2.01E+11,CN,2016-06-01,A,105637967
32160,6178701677,1.02E+12,52776877,CN,2014-10-02,A,2.01E+11,CN,2016-05-25,A,105612793
32161,6178701677,1.02E+12,53680114,US,2017-12-12,A,2.02E+11,US,2018-04-26,A1,2018115404
