,BusinessNum,cmpCd,cmpNm,cmpScl,criGrd,accDate,grdDesc
542,3068103046,1659112,에이케이켐텍(주),중견기업,D,2021-11-04,지급불능 상태의 매우 취약한 신용능력을 나타내어 적기 상환능력이 전무한 수준
543,1138609008,,,,,,
544,1108107364,,,,,,
545,1018609413,,,,,,
546,1058604506,,,,,,
547,4028109380,,,,,,
548,1058605796,,,,,,
549,1058704927,,,,,,
550,2148700573,,,,,,
551,3118709443,,,,,,
552,5038507517,,,,,,
553,2368700153,,,,,,
554,2618103983,,,,,,
555,4188107189,,,,,,
556,8198103987,,,,,,
557,5731705145,,,,,,
558,1208800029,,,,,,
559,3128109434,,,,,,
560,2208103382,,,,,,
561,1058706361,,,,,,
562,1688104821,,,,,,
563,2101905616,,,,,,
564,6208109116,,,,,,
565,3128107646,,,,,,
566,5078109578,,,,,,
567,2208701121,2647565,이비즈네트웍스,중소기업,B1,2022-07-19,"적정 수준의 단기거래 신용능력을 보유하지만, 급격한 환경변화에 따라 거래안정성에 다소 영향 받을 가능성이 있는 수준"
568,1068104928,,,,,,
569,2118506332,,,,,,
570,1028104876,,,,,,
571,1048600952,,,,,,
572,3028105655,,,,,,
573,2378104083,,,,,,
574,3148100493,,,,,,
575,3148602597,,,,,,
576,3608702820,,,,,,
577,1208707371,,,,,,
578,1058606593,,,,,,
579,5278706422,,,,,,
580,1232405875,,,,,,
581,1198105568,,,,,,
582,6320100043,,,,,,
583,2118703150,,,,,,
584,1248606321,,,,,,
585,2038100178,,,,,,
586,5038103273,1732335,한내건설(주),중소기업,C1,2022-03-31,"현재 수준에서 신용능력은 제한적이며, 장래 거래안정성 저하가능성이 예상되어 주의가 요망되는 수준"
587,5658806780,,,,,,
588,3148104968,,,,,,
589,1218606432,,,,,,
590,5038503647,,,,,,
591,2288705917,6748018,은환이엔씨,중소기업,B1,2022-07-19,"적정 수준의 단기거래 신용능력을 보유하지만, 급격한 환경변화에 따라 거래안정성에 다소 영향 받을 가능성이 있는 수준"
592,1148700685,,,,,,
593,1109007563,,,,,,
594,5608104291,,,,,,
595,4170805951,,,,,,
596,2108103034,,,,,,
597,2648109907,,,,,,
598,2238604666,6744294,(주)아트앤에셋,중소기업,C2,2022-05-15,"채무불이행 발생 가능성을 내포하고 있으며, 상위등급에 비해 거래안정성이 매우 낮은 수준으로 경계가 요망되는 수준"
599,5038102188,,,,,,
600,2148806978,,,,,,
601,4958708861,,,,,,
602,1018602908,,,,,,
603,2648105504,,,,,,
604,2098104656,,,,,,
605,3138104254,,,,,,
606,4108605393,3220395,아름정보,중소기업,A3,2022-07-19,"우위의 단기거래 신용능력이 인정되어, 채무불이행으로 인한 위험 가능성이 비교적 낮은 편이지만, 현 단계에서 예측 가능한 환경변화에 대한 대처능력이 제한적인 수준"
607,3148106357,,,,,,
608,3088809208,,,,,,
609,3388603942,,,,,,
610,6208103192,,,,,,
611,4178104981,,,,,,
612,4168102042,,,,,,
613,7088803730,,,,,,
614,3168108150,,,,,,
